step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
278,2.4775244849683578,0.3668165093029714,0.1959246940701211,0.2589043792492819,0.20571332918666171,1.6625524567019554,0.5868020304568528,0.5290412234735442,0.40375584872234843,0.39346262104437246,677.657
555,1.6377069493923806,0.5676808525409609,0.39278937229698896,0.43040860242221646,0.3917706004783005,1.2567387607789808,0.6934010152284263,0.6325072075521377,0.5548871568859545,0.5474895221894964,1359.172
832,1.329248198102958,0.6425298528186615,0.4842792592618273,0.5060867469507822,0.4772734918836268,1.034382402896881,0.7218274111675127,0.6027592708607671,0.5873941439532482,0.5722848358759259,1989.939
1109,1.1602731142663782,0.6788305331852262,0.5223088109727471,0.5374293909933596,0.513199689079593,0.9389926983464149,0.7319796954314721,0.6192861736310025,0.6140440647635722,0.602898422385918,2638.833
1386,1.0726487791495203,0.699640724798667,0.5495639363931607,0.5579566205814024,0.5380310214297632,0.8638547812738726,0.7644670050761422,0.7105382498440674,0.6665147560710315,0.6551576291121506,3331.549
1663,0.9980191683080653,0.7164242571507914,0.5724949011693572,0.577618361248179,0.5597121746314762,0.8151594429246841,0.7736040609137056,0.7048183827572354,0.6949875262478745,0.6722942475706524,3978.961
1940,0.9403922664344526,0.7302138294918078,0.5862104754552185,0.5923223527022652,0.5749704726856623,0.7502746101348631,0.7878172588832487,0.6963173974304283,0.6939046459640348,0.6752710657268939,4645.207
2217,0.9047402237081356,0.7362451402388225,0.6003915050286175,0.6028020179960358,0.5867655013858168,0.7636320042994714,0.7796954314720812,0.7226827197820053,0.6730104347597979,0.6641244864423828,5293.782
2494,0.870373572253148,0.7425715079144681,0.6036322685806633,0.6080776207544889,0.5915077490919923,0.724863201379776,0.7898477157360406,0.6786598705564505,0.6900095106626203,0.6688006235894792,5961.348
2771,0.8299124077339035,0.7551721743960012,0.6244807552311142,0.6290258540927799,0.6125517583677267,0.6846382666018701,0.7918781725888325,0.7304060982579461,0.7058906871835896,0.6960638361707893,6634.498
3048,0.8232060667624973,0.7535927520133296,0.6197268080816162,0.6204274114348329,0.6064090587767088,0.6670403999667014,0.8,0.713873682974737,0.7018026773544457,0.693516300735204,7317.311
3325,0.8213170921759485,0.7591901555123577,0.6259740370319984,0.6282183637893517,0.6136952168124268,0.6883038666940504,0.7979695431472081,0.7041926453887853,0.7107505006247412,0.693552885383447,7951.581
3602,0.78167164078258,0.7702113996112191,0.6469891671451776,0.6451201832349085,0.6322097742649263,0.6717648169686717,0.7979695431472081,0.7220511300690503,0.7131643493402036,0.7001273989623586,8617.475
3879,0.7782628388826598,0.7648396278811441,0.636122299543315,0.6363549308700099,0.6220892323765513,0.6493804435576161,0.8050761421319796,0.7481202406063993,0.7090149255299721,0.7074595648622852,9252.226
4156,0.7601620558151699,0.7723288669813941,0.640609555081504,0.6437749857111507,0.6299410459202477,0.6576590624547773,0.8020304568527918,0.7246252451539871,0.7194294091963599,0.7061279867343462,9924.822
4433,0.7576180070315888,0.7705151346848098,0.6418737918049966,0.6469030232653398,0.630440818322707,0.6322178706046073,0.8091370558375635,0.7353361877009059,0.7240450643667286,0.7189036053288078,10592.998
4710,0.7851832495054183,0.7619758400444321,0.6264173295878399,0.6281392650963102,0.6135765311583222,0.7238684190857795,0.7725888324873097,0.6777340099382105,0.6875377160250886,0.664458399635846,11274.312
4987,0.7795340280025014,0.7617762427103583,0.6299204624347934,0.6327900921798378,0.618010607479424,0.6522836925521973,0.8050761421319796,0.7489515992566721,0.7170406862601058,0.6984392930735049,11944.265
5264,0.7497263935929172,0.7663149125242988,0.634311842921634,0.633664389135542,0.6201839783336976,0.6630133265449155,0.8081218274111676,0.7580668427872972,0.7126892400686051,0.7034401440086591,12577.142
