step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
555,2.204839342875601,0.39000451263537905,0.23518177707046053,0.27576683166768,0.24096437263545067,2.043253654433835,0.43248730964467,0.3477199486454422,0.31125286708781924,0.27847805369745027,770.127
1109,1.2916784512437207,0.6113267148014441,0.4572643046490503,0.46343881611546894,0.4493151286189569,1.2097027983155944,0.6304568527918781,0.584485635643429,0.5327408564001644,0.5078903928139074,1574.988
1663,0.970604108532198,0.7012184115523467,0.5578644511153152,0.5542796447914131,0.5468194887734125,1.2247981645407215,0.6720812182741117,0.6763659776273114,0.5754832144403842,0.5799738561975099,2327.938
2217,0.8723560862431458,0.7302797833935017,0.5952318893552121,0.5915645969995109,0.5843735489050312,0.9932843434714502,0.7147208121827411,0.6746261463768791,0.6199463757707404,0.6142432889725578,3106.390
2771,0.7794590577321793,0.7591832129963898,0.6233288079515495,0.620417533108203,0.6136277274554541,0.669562047918237,0.8010152284263959,0.7602925956096558,0.7358268193547174,0.7317541143020769,3878.082
3325,0.7279520561037727,0.7684341155234656,0.6384543303377335,0.635364864018467,0.6294335613475806,0.7370886869968907,0.783756345177665,0.7053468356567286,0.6997345411858594,0.6824459443196164,4633.912
3879,0.6761352441102159,0.7834160649819495,0.6592956826335863,0.6570519012696465,0.650470947578289,0.65831756705959,0.8,0.7606808942292289,0.7629266899901733,0.7346195354095084,5388.648
4433,0.64660639373673,0.7936371841155235,0.6758202981812134,0.6719069732555497,0.6664952044184502,0.7288246784479387,0.7776649746192893,0.7365848827369205,0.6959081154092674,0.6966287603550143,6148.855
4987,0.6168711745123032,0.8001128158844765,0.6813996889594882,0.6786962648814883,0.6731040541152512,0.6454034046299996,0.8010152284263959,0.7506834269111656,0.7221739407709558,0.7226245914246974,6919.418
5541,0.5817952101465167,0.8116425992779783,0.700012151130517,0.6987296169981057,0.6923652617483097,0.7482698913062772,0.7796954314720812,0.7551094037200801,0.7063390422813745,0.7034280242334084,7684.475
6095,0.5607090555938358,0.8272563176895307,0.7177095802471625,0.7163151728801497,0.7107205663081693,0.5890129787186461,0.8243654822335026,0.7610270677020881,0.7589368462265338,0.7451338677868087,8447.838
6649,0.5492244149601955,0.8219539711191336,0.7135306262793103,0.7098010803993535,0.70486556874973,0.5534503758854924,0.8233502538071066,0.774068789779394,0.7596750629986153,0.7502091032134709,9210.685
7203,0.5415399115976444,0.8212319494584838,0.7101317430683235,0.7078543964826045,0.7022992751378618,0.6477319848152899,0.8,0.7494020652284241,0.7547859578079171,0.7301163879598531,9990.715
7757,0.5098419464243718,0.8347021660649819,0.7259437963797511,0.7247215971316865,0.719622235106484,0.5178818001501984,0.8385786802030457,0.802988302370663,0.7869384852797984,0.7819995870181696,10754.258
8311,0.5051187444814491,0.8355595667870036,0.7285675221713861,0.7293177812261546,0.7227758152611662,0.5830610926833845,0.8213197969543147,0.7877762406663444,0.7661610561565648,0.7573679395741112,11532.894
8865,0.4886891161115161,0.8419675090252707,0.7407710588711768,0.7382131723925607,0.7336017890269508,0.5733047320597595,0.8345177664974619,0.7944110493124183,0.7742675772529244,0.7719701895248499,12309.267
9419,0.47534379613205846,0.8437725631768953,0.7406838918442368,0.7374000607412692,0.7331526465105973,0.5642065983866492,0.8274111675126904,0.802563813077,0.7591117533491939,0.7619187161855565,13057.246
9973,0.4575268204192823,0.8491877256317689,0.7470205821278028,0.7456363312274729,0.7410380260541664,0.5497163612876208,0.8324873096446701,0.7958646647758764,0.758325241454703,0.7631329248020939,13791.106
10527,0.4739063319881255,0.8434792418772563,0.7384861130871705,0.7341283728786904,0.7304839005649763,0.5645475167060091,0.8182741116751269,0.7658067669752084,0.791439970243111,0.764748388994721,14548.194
11081,0.442055381852999,0.8545126353790613,0.7558401009643585,0.7543147049064295,0.7491067714192694,0.5480138360252303,0.8223350253807107,0.7551954284568384,0.7688853282691213,0.7472091326855523,15317.705
