step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
278,2.4993214930007603,0.35178596223271313,0.18273421620503505,0.24224150980449,0.19179485808703725,1.7295437820496098,0.5715736040609137,0.4443179742974223,0.3812399353785282,0.35492489224190044,638.910
555,1.5414224239032621,0.6004234934740349,0.4229891432147382,0.45915838184730506,0.4226589219479563,1.1705233493158895,0.7157360406091371,0.6464111006196276,0.5800967581961308,0.562779411824535,1310.678
832,1.1631604353443379,0.6951280894196057,0.530692794410009,0.5502706307717689,0.5239776789521895,0.9250758059563176,0.7583756345177665,0.6816950026785525,0.6426253778761642,0.6292562390187486,1949.128
1109,0.9794332150517818,0.7409139822271591,0.5899883270241973,0.6001466770216312,0.5808160315808041,0.7854679621035053,0.7878172588832487,0.6961064553074506,0.6946110633399367,0.6819468845038968,2594.857
1386,0.8529387575839831,0.7669050263815608,0.6297106747524367,0.6398910130548916,0.6210888823507617,0.7503016831413392,0.8060913705583757,0.7540276746000923,0.7258278766550961,0.7169122377952609,3287.582
1663,0.7960583223332567,0.7744897250763676,0.6369771254045492,0.6438564611116977,0.6268148050269307,0.6871767370931564,0.8060913705583757,0.7533821834127197,0.7319390319570779,0.7176492099805631,3957.057
1940,0.7369409347699437,0.7893553873923911,0.6655031450617073,0.6670142273929389,0.6531644882434869,0.6930675025909178,0.7898477157360406,0.767336198135607,0.7189777120382516,0.7188563917850334,4642.591
2217,0.6770664785958369,0.7987451402388225,0.6758103101037951,0.6780285702952195,0.6641097019866238,0.6596940198252278,0.8010152284263959,0.7489292549966093,0.7509520889718097,0.7340869414350302,5334.750
2494,0.6594666076911485,0.8071021938350458,0.6880223287861689,0.6867593954035781,0.6751851210904521,0.5830341966882828,0.8223350253807107,0.7759762533735438,0.7588004939071752,0.7493722373356706,6011.703
2771,0.6264380186473419,0.811814426548181,0.6976308405673094,0.6957172808340938,0.6847568745642928,0.5642881273261963,0.833502538071066,0.7792299078017045,0.7742426253339876,0.766708983094859,6687.628
3048,0.6054841727018356,0.8189999305748403,0.7029255867491176,0.7029981044209042,0.6914174979216451,0.5452025229892423,0.8294416243654822,0.7751818243011461,0.7699880187061566,0.7559586671010923,7393.895
3325,0.5687759674628289,0.82584698694807,0.7103768190717495,0.7102336010586207,0.6988611098171901,0.5325443884057384,0.8355329949238579,0.7919748306389065,0.7634528345936135,0.7558970199760399,8079.149
3602,0.5461589139936633,0.829457095251319,0.7237536495433469,0.720815544172588,0.7106412684101804,0.49735372874044603,0.8456852791878172,0.7869249163556702,0.7712031511885107,0.7689746545127403,8725.865
3879,0.5604496035012098,0.8275218689252984,0.7172087749215206,0.7154670132767732,0.7052445801919166,0.5462004277975329,0.8345177664974619,0.8082337687031476,0.7754569480997785,0.7702272675235876,9405.358
4156,0.5257454640921273,0.835549153013052,0.7297356662523947,0.7284317780568703,0.718189404641836,0.4749685393706445,0.8578680203045685,0.798865226957392,0.7937574154308825,0.7855330665070765,10086.618
4433,0.51859128808717,0.8427954040544293,0.7392493099222678,0.7358412558004317,0.726417144679431,0.4669672519929947,0.8507614213197969,0.795357336635651,0.7885683318017966,0.7830734207749863,10768.803
4710,0.48805555389245925,0.8495383226881422,0.7492354181841668,0.7471685175344708,0.7377452907963611,0.4583233234382445,0.8527918781725888,0.8012509600369899,0.8066829816322437,0.7956931806478303,11456.325
4987,0.46338192591383137,0.8540509580672035,0.7533562833565265,0.7470953846035704,0.7407155131467902,0.4257476598985733,0.867005076142132,0.8103383287535765,0.8040989099020479,0.7974105795644142,12139.323
5264,0.47215456695763214,0.8500156206609275,0.7492797780272186,0.7492548540189592,0.7384211239237795,0.4492838685550997,0.8639593908629442,0.8455292607525047,0.8071546672347771,0.805403494804963,12805.518
5541,0.45418643951416016,0.8555783115801167,0.7568960547898727,0.7572179571858461,0.7473109016330343,0.42911061115803256,0.8568527918781725,0.7983844642492761,0.7970356236251162,0.7866829836660891,13456.931
