step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
555,3.057221887774416,0.17946750902527075,0.0701151947236462,0.13228398689187315,0.08178949100999357,2.868674320559348,0.20710659898477157,0.03878365381426732,0.09390003128548044,0.04859371439280232,643.875
1109,2.706798401119907,0.2375,0.11420230507670279,0.16948322196969834,0.12470342761592901,2.533485604870704,0.267005076142132,0.1222618608115246,0.14975373872022063,0.11186867143663912,1299.849
1663,2.551205670145014,0.27653429602888085,0.15123125844257798,0.1920113205437642,0.1569803158839622,2.4985081149685766,0.2720812182741117,0.1947541535680099,0.15414645763687201,0.13268928586069753,1915.602
2217,2.446780496771155,0.29693140794223827,0.16963529050804915,0.20571724436461203,0.17315006078205858,2.4598977296583113,0.28426395939086296,0.1780302658937795,0.15864504876350113,0.13445139217189442,2582.542
2771,2.389566658851472,0.31870487364620936,0.18510408896394287,0.22222738712081136,0.1888355369666738,2.375406353704391,0.31370558375634516,0.2155093410693129,0.21360405326473794,0.19763413375694433,3220.044
3325,2.2897035201964395,0.3413131768953069,0.201493144081201,0.2363488482235891,0.20464910902573516,2.281037280636449,0.3319796954314721,0.25790241664816693,0.2455905010020552,0.20960624084111962,3841.057
3879,2.231878045663937,0.3455099277978339,0.20576904403449497,0.2401668508066322,0.20916911228227908,2.22285480653086,0.34213197969543147,0.24674163868677362,0.22705360280618742,0.19870670881003016,4477.301
4433,2.1411284012484635,0.37278880866425995,0.23014364345577826,0.25924885576338275,0.2309733751408559,2.260795456747855,0.3715736040609137,0.34246242480213346,0.2674650387257157,0.2500686261274775,5095.511
4987,2.100486726967436,0.38172382671480143,0.24343382473034836,0.2680426347905034,0.2425040134705836,2.1780335864713116,0.36548223350253806,0.3483103813353286,0.2775620342320817,0.24547110551546622,5724.868
5541,2.0716032396585073,0.3904783393501805,0.25441938684775045,0.27727162754245555,0.2524819859441888,2.103541931798381,0.4040609137055838,0.33321731208061356,0.3018093670407478,0.26830714918954407,6363.613
6095,2.0275359915482007,0.40022563176895304,0.2533574768830527,0.27945555211583545,0.2536040355952597,1.9967770095794433,0.4101522842639594,0.3243786579700293,0.2931655622143102,0.2728809395704313,7001.100
6649,2.0105877348662284,0.4081678700361011,0.26415848246766244,0.2877551189278877,0.26257683238244844,1.99012065510596,0.41421319796954315,0.33300312997921205,0.31140598093977995,0.292311392757555,7631.668
7203,1.9484801783028063,0.4171480144404332,0.27558080098968285,0.29855088357842946,0.2733910024922224,2.0524196893938127,0.39898477157360407,0.31484360118869203,0.2913279911260495,0.2608802176506065,8260.468
7757,1.9222117605407316,0.41732851985559566,0.27302265236939915,0.2949690516968532,0.2707189334219425,1.9281056484868448,0.4263959390862944,0.3713936268003165,0.30690708018516843,0.2907582070430951,8925.075
8311,1.8984382652849066,0.43282942238267147,0.2861011897520475,0.3075466387614904,0.2839679700781526,2.121253019379031,0.38274111675126904,0.34023195980672216,0.2938418849184574,0.26319865649691304,9586.260
8865,1.8906087442855972,0.4368456678700361,0.29378670903510246,0.3161943114682673,0.29156971990191594,1.9069852319455916,0.4182741116751269,0.31157768982248035,0.30337876917075224,0.28790031763669355,10195.725
9419,1.865369099034299,0.4393501805054152,0.293636350196001,0.31273942220439577,0.28986955916447976,1.9093564018126457,0.43959390862944164,0.35560287151521297,0.3483773559324638,0.32779980377968704,10836.042
9973,1.8382969429776987,0.4509025270758123,0.30108413585279337,0.3237522806739053,0.29923445061633674,2.0650507750049716,0.4020304568527919,0.33230317346937055,0.322836791589169,0.2930049936067583,11453.870
10527,1.814408987437775,0.4553474729241877,0.3106131252354924,0.33150433433605125,0.3076882202120969,1.8433036150470856,0.4355329949238579,0.39724829460967304,0.33234295714388545,0.32179806350785084,12088.112
11081,1.8301471677282657,0.44386281588447657,0.3000193021271645,0.3187254369018288,0.2958827090193123,1.8188746763813881,0.467005076142132,0.4271695350267283,0.35372043170000744,0.34755200984470835,12706.916
