step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
278,2.466221576993646,0.36958483754512633,0.19721065683149175,0.25609353625410675,0.2058555550693754,1.703723845943328,0.584771573604061,0.4501480989898172,0.3784802182052763,0.36020946763647366,624.971
555,1.5369278321627675,0.6044327964454318,0.42007231655667515,0.45450516821412285,0.4186616745368822,1.1599476472023995,0.7116751269035533,0.597554459014047,0.5647607786548531,0.5510049402492039,1254.245
832,1.16445398459796,0.7046046237156346,0.5459051298296329,0.5620233023769704,0.5378617838240047,0.9384487290536204,0.7461928934010152,0.6644641368406715,0.6334311603771399,0.6199782010872168,1827.433
1109,0.9997853236508283,0.7322445154123854,0.5871827103589262,0.5946196475136287,0.5760088525145796,0.8297769408072194,0.7644670050761422,0.6534264166995273,0.6544545313829562,0.6389827571777639,2406.946
1386,0.8550408972084307,0.7712440988614274,0.6362935555609065,0.6418536316011599,0.6250043084219001,0.748709197005918,0.782741116751269,0.7161038146230647,0.701446293202092,0.6862425482113517,2972.519
1663,0.7739836801690746,0.7819182171618995,0.6520724285215259,0.6554869366581154,0.6406461729766428,0.7110978345717153,0.7918781725888325,0.7274604608951711,0.7034787408495461,0.698234344445852,3570.016
1940,0.7209133370258317,0.7931650930297139,0.6663762804178421,0.6695357520169831,0.6549315738407923,0.6446765161329701,0.8121827411167513,0.7179627413275471,0.7402018633211934,0.7134194837781467,4126.618
2217,0.6834764852312928,0.8012270896973063,0.6802085356033536,0.6830285094075755,0.6696092146028996,0.581599437421368,0.8213197969543147,0.7468995409738278,0.7543776011155361,0.7391871442220375,4710.636
2494,0.6328842035269479,0.8131942515967786,0.6909233156331107,0.6907077136893333,0.6793854283475824,0.5518842185697248,0.8426395939086294,0.7553315626218973,0.779286392487532,0.7554382329305903,5286.114
2771,0.6139282800445488,0.815329075256873,0.7022616860679873,0.7001816889961057,0.689215589440507,0.5652975795730468,0.8233502538071066,0.7356103222794144,0.7582668501539099,0.73144368390124,5900.316
3048,0.5750999262939722,0.8268362954734796,0.7176233950947873,0.715373929238651,0.7053702406955958,0.5310311043454755,0.8324873096446701,0.7625486764284544,0.7753844755701168,0.7577668615480879,6508.732
3325,0.5428435130024645,0.8384042627048043,0.7361676640245899,0.7332635232214152,0.7238004394572538,0.5345412656184165,0.8385786802030457,0.7809526713974491,0.7828767098206726,0.7621420407343446,7098.711
3602,0.5408954666086913,0.8337788114412663,0.7237091314946787,0.723994956177625,0.713077702784547,0.4809333364809713,0.8538071065989847,0.7921468357131607,0.7894497609855862,0.7806139729152,7711.324
3879,0.5013000723041783,0.8436198278256041,0.7397908050685126,0.7399910496639688,0.7296985337346084,0.5235113530389724,0.8406091370558376,0.7707480122662597,0.7786974314962128,0.7623887501076467,8303.363
4156,0.5094047079017446,0.8418060955290196,0.7411291772065777,0.7396212495947156,0.7295923153486021,0.5077184006091087,0.8467005076142132,0.7893394470214495,0.8042703640488267,0.7884541110117456,8888.762
4433,0.4884446612441583,0.8500242988058873,0.7480621262513538,0.7456730117136862,0.7366467112412909,0.5046220099733721,0.8507614213197969,0.7984641507667032,0.8030986859853926,0.7941400281919938,9474.690
4710,0.4899707078826126,0.8456158011663427,0.7450096658066933,0.7422993933645217,0.7331335814204647,0.48923521224529515,0.8538071065989847,0.7829589839139498,0.7951186915271353,0.7801865016999605,10053.480
4987,0.5460468342373087,0.8272615245765066,0.7148868049285492,0.7139570389591866,0.7036089191734272,0.5104452443699683,0.8416243654822335,0.7833392914448405,0.7838528120838365,0.772355779784483,10630.742
5264,0.4840937474682013,0.8477593029713969,0.7525640745491737,0.7496799049995087,0.7400161139690203,0.4926345958825081,0.849746192893401,0.7812736910796504,0.8035445721055099,0.7856578412898275,11217.912
5541,0.44528489987557546,0.8600041655095807,0.7605242014481405,0.7597651422497153,0.7505199674535079,0.47795946799939676,0.848730964467005,0.7895274157781198,0.7855210254576814,0.7776776711372485,11810.168
