step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
555,3.0551257645610437,0.17276624548736463,0.06376915016233779,0.12676747411518335,0.07597297091985691,2.723186089146522,0.2233502538071066,0.056154694935647696,0.08567173023835775,0.05705705329842066,693.341
1109,2.7442387422069316,0.2266019855595668,0.11029055376040908,0.16022596469629602,0.11938757992833564,2.619036659117668,0.2568527918781726,0.09713552324046064,0.13586166784646445,0.10161257964820514,1435.050
1663,2.614158943241684,0.26017599277978337,0.1399257454104366,0.18119816688795426,0.14546798181632942,2.5381026729460685,0.2649746192893401,0.11258810442620959,0.13701823152819323,0.11288447860116035,2184.218
2217,2.508810214187264,0.2869584837545126,0.16065586380297173,0.20021736749035582,0.16542102110462048,2.363916837400006,0.3208121827411167,0.17352320383559477,0.15445504060879012,0.13375380402990547,2919.405
2771,2.4304226664859896,0.30543772563176896,0.1725326763529548,0.2161856922757424,0.17986267860897512,2.3054193912013883,0.3431472081218274,0.17372042902756774,0.19374136675158554,0.1599246405438226,3643.665
3325,2.34578038897325,0.3218185920577617,0.1922104059670911,0.2282244067627567,0.19595628792908792,2.25273532636704,0.35431472081218274,0.19689469009520177,0.22334779311272807,0.18663234419306185,4357.958
3879,2.2706692599647744,0.34158393501805057,0.20786035946206086,0.23870879857320312,0.20934040557264127,2.1435831342974017,0.3725888324873096,0.24432568644203273,0.24503751451728367,0.22218484478014028,5111.249
4433,2.1941656033484946,0.3564756317689531,0.22179737886411502,0.2483728927950941,0.2210341063418668,2.1237651840333016,0.35634517766497464,0.24298874852279048,0.23658805625381474,0.20827919119153968,5840.422
4987,2.1313225073934894,0.36870487364620935,0.23220619960832567,0.2562191314369709,0.23166769928625291,2.0765292990592217,0.4071065989847716,0.2901493242979781,0.27701516092896716,0.2549721427539923,6533.605
5541,2.0745040933578025,0.3874548736462094,0.24746290159345102,0.2734535663088981,0.24637112034200506,2.09687396787828,0.38883248730964465,0.2634228128875842,0.24698843437003096,0.21996210313915668,7220.916
