step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1
0,3.979494571685791,0.015625,0.006578947368421052,0.006578947368421052,0.006578947368421052,nan,nan,nan,nan,nan
1,3.767042398452759,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
2,3.581151008605957,0.03125,0.020833333333333332,0.010416666666666666,0.0125,0.0600822003359722,0.007106598984771574,0.00017766497461928934,0.025,0.00035282258064516127
3,3.6034674644470215,0.078125,0.04166666666666666,0.058333333333333334,0.04702581369248035,nan,nan,nan,nan,nan
4,3.2905869483947754,0.1875,0.08180708180708181,0.06586700336700338,0.06412490922294845,0.06061293679445528,0.013197969543147208,0.0003299492385786802,0.025,0.0006513026052104208
5,3.4602270126342773,0.0625,0.030392156862745094,0.03529411764705882,0.03247177658942365,nan,nan,nan,nan,nan
6,3.1480226516723633,0.234375,0.11930272108843538,0.14107142857142857,0.10717377860235003,0.06316646512994911,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
7,3.3234663009643555,0.234375,0.09310035842293907,0.11390168970814132,0.09032258064516129,nan,nan,nan,nan,nan
8,3.263812303543091,0.109375,0.02175026158195863,0.04946236559139785,0.027543424317617866,0.06824349485678116,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
9,3.1493523120880127,0.171875,0.04481516290726817,0.09424603174603174,0.059065934065934064,nan,nan,nan,nan,nan
10,2.9426045417785645,0.25,0.09778338945005612,0.14969135802469136,0.09629629629629628,0.0761632004365098,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
11,2.9731812477111816,0.25,0.1404657170786203,0.14231950844854072,0.11703036053130929,nan,nan,nan,nan,nan
12,2.9709856510162354,0.1875,0.04655400155400155,0.1111111111111111,0.0603548085901027,0.08666160312400857,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
13,2.857362985610962,0.3125,0.17926155969634233,0.1882677708764665,0.13985220828321018,nan,nan,nan,nan,nan
14,2.722400665283203,0.3125,0.06958874458874459,0.14423076923076922,0.09286890645586297,0.09763088129498632,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
15,2.924056053161621,0.3125,0.1314331501831502,0.15952380952380954,0.11557539682539683,nan,nan,nan,nan,nan
16,2.986680507659912,0.25,0.09161931818181818,0.12767857142857142,0.08854471712927596,0.10426144091610981,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
17,2.815305709838867,0.328125,0.1413882413882414,0.15432098765432098,0.13193623128263648,nan,nan,nan,nan,nan
18,2.8228273391723633,0.265625,0.11999999999999998,0.1722222222222222,0.12376984126984127,0.11074569818332111,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
19,2.815134286880493,0.234375,0.0760989010989011,0.12820512820512822,0.08898577805460396,nan,nan,nan,nan,nan
20,2.509544849395752,0.34375,0.1606358918858919,0.19375,0.15766499582289056,0.11042157429729016,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
21,2.954287528991699,0.265625,0.0615463389656938,0.14516129032258066,0.08552916617432747,nan,nan,nan,nan,nan
22,2.7839126586914062,0.296875,0.0776732845698363,0.20919540229885056,0.10792590148307026,0.11045110189370093,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
23,2.617581844329834,0.375,0.11892006802721089,0.18888888888888888,0.13634817563388993,nan,nan,nan,nan,nan
