step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1
0,3.915365695953369,0.03125,0.017921146953405017,0.026881720430107524,0.016129032258064516,nan,nan,nan,nan,nan
1,3.824232578277588,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
2,3.7432844638824463,0.0625,0.03072916666666667,0.020386904761904762,0.024305555555555556,nan,nan,nan,nan,nan
3,3.6552703380584717,0.109375,0.06777777777777777,0.07916666666666666,0.06647342995169082,nan,nan,nan,nan,nan
4,3.651623010635376,0.15625,0.04773954116059379,0.10256410256410256,0.06208791208791209,nan,nan,nan,nan,nan
5,3.5400466918945312,0.171875,0.03977397410577134,0.07936507936507937,0.04861111111111111,nan,nan,nan,nan,nan
6,3.5759592056274414,0.21875,0.029998252220474444,0.08641975308641975,0.044155503020751254,nan,nan,nan,nan,nan
7,3.5412657260894775,0.171875,0.043324918324918325,0.12912087912087913,0.06305361305361305,nan,nan,nan,nan,nan
8,3.4169938564300537,0.25,0.053282182438192674,0.13702239789196313,0.07542533081285444,nan,nan,nan,nan,nan
9,3.5381038188934326,0.15625,0.025555555555555554,0.11199999999999999,0.04099419279907085,nan,nan,nan,nan,nan
10,3.256617546081543,0.265625,0.05513392857142857,0.15277777777777776,0.07701719576719576,nan,nan,nan,nan,nan
11,3.359631061553955,0.21875,0.05892595307917888,0.125,0.06893424036281179,nan,nan,nan,nan,nan
12,3.1918962001800537,0.234375,0.05869990224828935,0.1212121212121212,0.07167832167832168,nan,nan,nan,nan,nan
13,3.1111884117126465,0.265625,0.05072222222222222,0.12222222222222222,0.06603174603174604,nan,nan,nan,nan,nan
14,3.2085764408111572,0.28125,0.054327894327894324,0.13095238095238096,0.0734916424571597,nan,nan,nan,nan,nan
15,2.9343433380126953,0.296875,0.04038461538461539,0.09775641025641026,0.056366181846464955,nan,nan,nan,nan,nan
16,2.9298787117004395,0.25,0.11011904761904762,0.15982905982905982,0.08246712083029219,nan,nan,nan,nan,nan
17,2.9078221321105957,0.265625,0.11904761904761903,0.15625,0.10608465608465607,nan,nan,nan,nan,nan
18,2.983565092086792,0.296875,0.10723484848484847,0.20486111111111108,0.12648735156231408,nan,nan,nan,nan,nan
19,2.917266368865967,0.328125,0.061418610438218287,0.13209876543209875,0.07740715180328707,nan,nan,nan,nan,nan
20,2.7547402381896973,0.328125,0.0662202380952381,0.14360119047619047,0.08980393692564746,0.056441421658883086,0.043583535108958835,0.003840813782160263,0.035015184524988446,0.005991740080418803
21,2.7625274658203125,0.328125,0.15429879045439684,0.19130434782608696,0.13050379572118703,nan,nan,nan,nan,nan
22,2.8128867149353027,0.296875,0.09151515151515152,0.16190476190476188,0.11144945697577277,nan,nan,nan,nan,nan
23,2.8928651809692383,0.265625,0.05669230769230769,0.13666666666666666,0.07465761177136389,nan,nan,nan,nan,nan
24,2.669955253601074,0.328125,0.09860781919605448,0.18716931216931215,0.11007736427904496,nan,nan,nan,nan,nan
25,2.925631046295166,0.296875,0.13237085769980508,0.21428571428571427,0.1321937321937322,nan,nan,nan,nan,nan
26,2.5006606578826904,0.40625,0.1242822966507177,0.16282051282051282,0.12533455655052753,nan,nan,nan,nan,nan
