step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1
0,3.941349744796753,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
1,3.6521716117858887,0.078125,0.028108465608465607,0.03333333333333333,0.029260862594195927,nan,nan,nan,nan,nan
2,3.6658313274383545,0.046875,0.07070707070707072,0.051515151515151514,0.05808080808080807,nan,nan,nan,nan,nan
3,3.5076544284820557,0.171875,0.07587782587782588,0.11818181818181818,0.08680028105865427,nan,nan,nan,nan,nan
4,3.5417191982269287,0.109375,0.03877551020408163,0.04285714285714286,0.037142857142857144,nan,nan,nan,nan,nan
5,3.390253782272339,0.140625,0.0357397504456328,0.0696078431372549,0.04371944856373922,nan,nan,nan,nan,nan
6,3.5159082412719727,0.078125,0.033690268065268064,0.042708333333333334,0.029947916666666668,nan,nan,nan,nan,nan
7,3.0698306560516357,0.203125,0.07586206896551723,0.13004926108374384,0.08467337260440709,nan,nan,nan,nan,nan
8,2.929980516433716,0.265625,0.09974489795918366,0.17261904761904762,0.12126108018965162,nan,nan,nan,nan,nan
9,2.929487466812134,0.203125,0.04942528735632184,0.08074712643678161,0.05322933771209633,nan,nan,nan,nan,nan
10,2.9745328426361084,0.265625,0.21659499920369485,0.19399585921325052,0.17868845080565304,nan,nan,nan,nan,nan
11,2.920884609222412,0.21875,0.054629629629629625,0.10083333333333333,0.06507936507936508,nan,nan,nan,nan,nan
12,2.853390693664551,0.296875,0.10514403292181068,0.17998236331569664,0.12339574006240672,nan,nan,nan,nan,nan
13,2.8661153316497803,0.1875,0.059480519480519474,0.11060606060606061,0.060658970658970655,nan,nan,nan,nan,nan
14,2.859822988510132,0.234375,0.09559307359307358,0.13723809523809524,0.09417989417989418,nan,nan,nan,nan,nan
15,2.7936105728149414,0.25,0.11631241565452091,0.17435897435897435,0.12667033820879975,nan,nan,nan,nan,nan
16,2.437375545501709,0.40625,0.12549603174603174,0.196875,0.14614197530864198,nan,nan,nan,nan,nan
17,2.5705387592315674,0.390625,0.14995590828924163,0.20570787237453908,0.1437078535117751,nan,nan,nan,nan,nan
18,3.0412933826446533,0.25,0.11013824884792627,0.14139784946236558,0.10018852115626309,nan,nan,nan,nan,nan
19,2.702040910720825,0.3125,0.1291350624683958,0.16261022927689595,0.12098765432098765,nan,nan,nan,nan,nan
20,2.5194973945617676,0.375,0.24250440917107582,0.24938271604938272,0.22065496232162898,nan,nan,nan,nan,nan
21,2.6061038970947266,0.3125,0.12658730158730158,0.15863095238095237,0.13403144474573045,nan,nan,nan,nan,nan
22,2.376803159713745,0.421875,0.1547979797979798,0.21921550671550669,0.16567460317460317,nan,nan,nan,nan,nan
23,2.407189130783081,0.390625,0.17462537462537464,0.22115384615384615,0.17273421023421023,nan,nan,nan,nan,nan
24,2.7121729850769043,0.28125,0.09436456400742115,0.13273809523809524,0.09262166405023549,nan,nan,nan,nan,nan
25,2.4483933448791504,0.328125,0.0937518420277041,0.17816091954022986,0.11978593865003602,nan,nan,nan,nan,nan
26,2.1169588565826416,0.453125,0.14792501736946181,0.19744268077601412,0.16756669256669257,nan,nan,nan,nan,nan
